date,web,mobile,ai,desktop,other,total_bid
2023.11.16,0,0,0,0,0,48
2023.11.17,1,0,0,0,1,70
2023.11.18,0,2,0,0,0,72
2023.11.19,0,1,0,0,1,46
2023.11.20,0,0,0,0,2,
2023.11.21,3,1,0,0,0,
2023.11.22,0,0,0,0,1,30
2023.11.23,0,0,1,0,0,68
